STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100108 01:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100108 02:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100108 03:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100108 04:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100108 05:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100108 06:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100108 07:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100108 08:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100108 09:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100108 10:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100111 00:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100111 01:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100111 02:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100111 03:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100115 03:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100115 04:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100115 08:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100115 12:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100116 04:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100116 05:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100116 06:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100116 08:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100116 09:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100116 10:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100116 11:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100116 12:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100117 01:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100117 02:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100117 05:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100117 06:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100117 07:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100117 08:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100117 09:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100117 10:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100117 11:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100120 23:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100121 00:00,0,T, 
COOP:474961,MADISON DANE CO REGIONAL AIRPORT WI US,264,43.1405,-89.3452,20100121 06:00,0,T, 
